inst,fecha,count,min,avg,max
24,"2019-01-14 12:00:00",594,2.2758,8.046190202,15.718392
1,"2019-01-14 12:00:00",378,2.333927,8.5918422487,21.539675
1,"2019-01-14 13:00:00",322,2.852001,9.2089213106,18.562449
24,"2019-01-14 13:00:00",739,2.276353,8.95216382,19.506629
1,"2019-01-14 14:00:00",232,3.311941,8.9147211336,34.020154
24,"2019-01-14 14:00:00",355,2.835336,8.4741061831,27.248232
1,"2019-01-14 15:00:00",213,3.268243,8.4644464742,15.435688
24,"2019-01-14 15:00:00",635,2.616646,7.9289264047,15.232417
1,"2019-01-14 16:00:00",357,2.813881,7.4363060112,15.750922
24,"2019-01-14 16:00:00",438,2.805912,8.1967779817,15.227503
1,"2019-01-14 17:00:00",163,2.746688,8.5602585583,15.786188
24,"2019-01-14 17:00:00",403,2.954017,7.9765389156,18.027577
1,"2019-01-14 18:00:00",267,3.378864,8.5508175206,14.683644
24,"2019-01-14 18:00:00",503,2.915431,8.1383595586,16.834639
24,"2019-01-14 19:00:00",594,3.376819,8.4013663603,16.283816
1,"2019-01-14 19:00:00",211,3.194847,7.8817918436,14.908794
24,"2019-01-14 20:00:00",609,3.007531,6.6902120033,16.371628
1,"2019-01-14 20:00:00",193,2.957004,7.8073863834,14.320317
24,"2019-01-14 21:00:00",37,3.772595,8.6029186757,15.391115
1,"2019-01-14 21:00:00",71,4.561515,7.6729181972,14.397144
24,"2019-01-15 00:00:00",22,9.849616,9.849616,9.849616
24,"2019-01-15 01:00:00",11,9.660798,10.0244343636,10.660798
24,"2019-01-15 07:00:00",767,5.210622,5.8535321239,6.370096
24,"2019-01-15 08:00:00",577,4.204242,5.248964331,12.076888
1,"2019-01-15 08:00:00",93,8.182237,9.1611820753,13.240118
1,"2019-01-15 09:00:00",29,7.226884,7.3416192414,10.326272
24,"2019-01-15 09:00:00",308,5.419435,8.217650526,13.17423
24,"2019-01-15 10:00:00",620,1.486377,9.1461344065,15.366044
1,"2019-01-15 10:00:00",4861,2.593784,5.4501971411,13.520729
1,"2019-01-15 11:00:00",155,2.73769,7.3896563226,17.284221
24,"2019-01-15 11:00:00",325,2.788337,6.2054981354,20.217721
1,"2019-01-15 12:00:00",169,2.428906,6.6467535503,12.596526
24,"2019-01-15 12:00:00",456,1.803538,6.0916435855,16.184017
24,"2019-01-15 13:00:00",569,2.190368,7.2121794833,15.147668
1,"2019-01-15 13:00:00",222,2.854545,7.1470899234,14.421699
